agent;time_slot;consumption (kW)
ferme;1;0.1
ferme;2;0.1
ferme;3;0.1
ferme;4;0.1
ferme;5;0.1
ferme;6;0.1
ferme;7;0.1
ferme;8;0.1
ferme;9;0.1
ferme;10;0.1
ferme;11;0.1
ferme;12;-0.215
ferme;13;-1.317
ferme;14;-2.674
ferme;15;-4.164
ferme;16;-5.696
ferme;17;-7.205
ferme;18;-8.639
ferme;19;-9.949
ferme;20;-11.101
ferme;21;-12.058
ferme;22;-12.801
ferme;23;-13.31
ferme;24;-13.572
ferme;25;-13.584
ferme;26;-13.337
ferme;27;-12.845
ferme;28;-12.117
ferme;29;-11.174
ferme;30;-10.036
ferme;31;-8.736
ferme;32;-7.313
ferme;33;-5.809
ferme;34;-4.276
ferme;35;-2.783
ferme;36;-1.414
ferme;37;-0.287
ferme;38;0.1
ferme;39;0.1
ferme;40;0.1
ferme;41;0.1
ferme;42;0.1
ferme;43;0.1
ferme;44;0.1
ferme;45;0.1
ferme;46;0.1
ferme;47;0.1
ferme;48;0.1
evs;1;-3.223
evs;2;1.183
evs;3;4.473
evs;4;-2.71
evs;5;-16.765
evs;6;-3.591
evs;7;22.872
evs;8;3.332
evs;9;4.137
evs;10;16.759
evs;11;10.705
evs;12;-3.85
evs;13;13.302
evs;14;15.642
evs;15;7.363
evs;16;-4.326
evs;17;6.375
evs;18;-9.702
evs;19;-27.611
evs;20;20.591
evs;21;-8.564
evs;22;4.094
evs;23;-5.314
evs;24;24.339
evs;25;4.638
evs;26;40.0
evs;27;7.12
evs;28;8.963
evs;29;-11.578
evs;30;22.587
evs;31;7.449
evs;32;-22.041
evs;33;-5.63
evs;34;6.899
evs;35;-5.594
evs;36;-16.756
evs;37;1.538
evs;38;-29.964
evs;39;31.146
evs;40;-0.763
evs;41;16.559
evs;42;0.525
evs;43;-3.945
evs;44;-17.115
evs;45;7.468
evs;46;-22.093
evs;47;-7.498
evs;48;-42.324
industrie;1;33.186
industrie;2;25.596
industrie;3;28.569
industrie;4;31.042
industrie;5;36.09
industrie;6;31.613
industrie;7;21.42
industrie;8;26.697
industrie;9;36.577
industrie;10;19.162
industrie;11;36.389
industrie;12;32.24
industrie;13;23.892
industrie;14;39.712
industrie;15;24.668
industrie;16;35.928
industrie;17;58.168
industrie;18;62.838
industrie;19;61.32
industrie;20;73.234
industrie;21;58.457
industrie;22;61.265
industrie;23;69.648
industrie;24;64.067
industrie;25;58.533
industrie;26;66.19
industrie;27;68.39
industrie;28;67.185
industrie;29;64.414
industrie;30;68.009
industrie;31;69.035
industrie;32;66.532
industrie;33;65.362
industrie;34;60.234
industrie;35;60.168
industrie;36;51.875
industrie;37;52.262
industrie;38;47.696
industrie;39;50.695
industrie;40;46.763
industrie;41;44.566
industrie;42;50.739
industrie;43;57.926
industrie;44;57.698
industrie;45;47.803
industrie;46;51.864
industrie;47;35.358
industrie;48;37.18
datacenter;1;14.133
datacenter;2;6.492
datacenter;3;6.507
datacenter;4;-1.303
datacenter;5;1.784
datacenter;6;1.845
datacenter;7;7.11
datacenter;8;1.857
datacenter;9;1.223
datacenter;10;20.628
datacenter;11;3.671
datacenter;12;12.5
datacenter;13;1.611
datacenter;14;7.819
datacenter;15;2.045
datacenter;16;0.682
datacenter;17;-1.001
datacenter;18;5.754
datacenter;19;-1.209
datacenter;20;3.623
datacenter;21;5.861
datacenter;22;2.233
datacenter;23;4.967
datacenter;24;0.679
datacenter;25;1.61
datacenter;26;6.851
datacenter;27;0.611
datacenter;28;10.657
datacenter;29;-1.875
datacenter;30;5.793
datacenter;31;0.145
datacenter;32;23.98
datacenter;33;8.821
datacenter;34;4.945
datacenter;35;7.275
datacenter;36;1.806
datacenter;37;-1.499
datacenter;38;-0.435
datacenter;39;0.09
datacenter;40;4.88
datacenter;41;2.582
datacenter;42;27.649
datacenter;43;0.419
datacenter;44;1.923
datacenter;45;4.732
datacenter;46;4.308
datacenter;47;6.036
datacenter;48;9.226
